employment,income,dti,score,amount,tenure,emp_length,delinquencies,savings,utilization,default
0,63830,0.332,769,21703,48,6,1,19214.61,0.31,0
0,72950,0.316,695,26562,24,1.8,1,16425.03,0.329,0
0,61801,0.297,753,11127,48,5.4,0,18170.25,0.281,0
0,56818,0.359,721,26178,24,0.5,0,19954.1,0.259,0
0,49410,0.312,707,21645,60,5.6,1,18748.51,0.273,0
1,37123,0.367,667,21052,24,3.6,3,12491.77,0.369,0
0,98527,0.317,698,11899,12,7.3,1,20505.64,0.273,0
0,48694,0.32,712,14446,48,0.1,0,31927.66,0.298,1
1,32173,0.542,610,10823,24,0.6,3,19407.88,0.433,0
1,58131,0.262,703,10138,60,0.8,1,16867.32,0.401,1
1,77532,0.282,717,17747,12,11.2,2,22806.6,0.378,0
0,73182,0.316,698,17328,24,0.3,0,22219.69,0.169,0
0,63673,0.277,721,6873,24,1.6,1,21683.16,0.352,0
0,59907,0.201,717,10393,60,11.4,3,24247.78,0.282,0
1,56786,0.232,710,20022,36,3.7,4,19641.27,0.413,0
0,65648,0.341,716,5056,36,9.6,2,10094.21,0.311,0
0,56992,0.295,694,24697,48,6,2,25495.51,0.321,0
1,40827,0.291,730,11819,36,0.6,1,23135.93,0.347,0
0,62466,0.42,684,17257,36,2.2,1,18650.03,0.427,1
0,60438,0.275,683,15070,24,0.1,5,13420.01,0.297,0
0,56246,0.301,712,15831,60,5.7,1,8635.98,0.215,0
0,59877,0.378,692,26555,24,1.6,5,21831.83,0.302,1
1,63309,0.268,703,18044,36,2.3,2,13328.69,0.3,0
0,53465,0.333,660,23813,36,4.2,1,21841.89,0.294,1
0,58372,0.393,715,14144,36,3.6,2,26828.56,0.404,1
1,57559,0.344,698,11870,36,6.1,0,17247.07,0.341,1
1,66605,0.337,754,15321,60,2.9,2,23956.35,0.304,0
0,73522,0.331,745,25460,24,15.2,3,24625.08,0.433,0
0,55161,0.263,732,7161,36,5.5,1,10578.53,0.377,0
1,53357,0.491,647,19966,48,1,2,-1032,0.489,0
0,51669,0.299,748,29789,36,0.7,1,25926.29,0.343,0
0,54882,0.234,742,19011,48,9,1,18797.63,0.263,0
1,71010,0.334,772,26746,12,3.7,0,21781.92,0.325,0
0,63109,0.225,656,16668,48,1.7,0,21656.89,0.231,1
1,50048,0.325,732,16526,36,0.2,2,22624.65,0.349,0
0,72841,0.313,714,18309,36,5.5,3,20158.87,0.194,0
1,86443,0.303,732,26262,36,0.7,0,17879.61,0.36,1
0,60550,0.313,739,15602,24,2.7,1,16084.73,0.261,0
1,59859,0.332,714,14532,48,0.1,0,24103.37,0.324,0
0,72012,0.182,684,10824,36,0.4,1,6477.35,0.373,0
0,49842,0.223,723,25381,12,2.1,3,15213.48,0.308,0
1,58091,0.266,704,18095,24,6,0,11009.3,0.271,0
1,80895,0.29,710,17347,60,13.5,0,22545.62,0.207,0
1,48431,0.289,692,11112,24,0.1,3,26893.16,0.355,0
0,69938,0.315,717,26212,48,4.1,0,22658.16,0.357,0
1,41335,0.273,741,19408,48,0.3,2,22345.07,0.273,0
0,63650,0.346,705,7829,48,2.9,0,21501.43,0.295,1
0,40906,0.249,723,13011,48,2.5,0,14309.09,0.329,0
0,73765,0.309,739,11498,36,2.9,0,22005.71,0.316,0
0,71219,0.298,692,10207,36,4.9,3,19178.56,0.32,0
0,37544,0.301,724,17030,24,1.3,2,17521.92,0.302,0
1,74093,0.367,696,10611,36,2.8,3,24879.71,0.306,0
0,75404,0.345,692,27504,24,0.1,1,23000.11,0.359,0
0,53243,0.398,674,14792,36,4.8,1,22275.67,0.208,1
0,43288,0.356,721,6522,36,7,2,29271.02,0.329,0
0,63571,0.357,696,25733,48,4.3,1,17516.44,0.246,0
0,64865,0.219,759,27087,60,28.4,1,16645.57,0.267,0
1,61793,0.332,742,21136,60,1.5,2,5787.2,0.389,1
1,58195,0.277,721,26346,36,2.2,0,21331.65,0.323,0
0,50813,0.27,741,28489,24,2.7,2,17069.68,0.259,0
1,51097,0.304,757,11495,48,25.8,1,19504.13,0.333,0
1,48409,0.313,641,10928,24,7,1,19101.94,0.407,0
0,54200,0.313,675,12575,48,8.2,0,31259.17,0.237,1
0,67708,0.276,762,20062,24,12.1,1,11764.98,0.314,0
0,37729,0.385,654,20457,24,2.8,2,6005.47,0.319,0
0,85896,0.311,728,15342,24,2.7,1,33746.21,0.272,0
0,53671,0.308,676,24798,48,3.4,3,19278.75,0.295,1
1,18495,0.443,629,7153,24,5.6,2,19241.22,0.496,0
0,50373,0.308,721,21933,48,4.1,3,25268.85,0.194,0
1,61961,0.319,749,19391,48,9.4,0,19031.11,0.304,0
1,43191,0.316,752,29534,12,2.4,1,27898.11,0.239,0
0,59032,0.274,733,5327,36,0.5,0,17156.6,0.284,0
1,46080,0.323,693,17974,36,0.7,3,21081.33,0.326,1
0,69956,0.289,734,12500,12,5.6,1,21455.9,0.297,0
0,59565,0.299,711,19330,12,1.9,1,13916.87,0.211,0
1,45933,0.284,721,5746,36,6.7,0,17556.36,0.289,0
0,85879,0.291,712,23645,48,8.8,1,10727.97,0.353,1
1,65018,0.272,676,23696,48,9.6,0,36047.64,0.254,1
0,65269,0.302,725,25230,12,3.1,1,30822.11,0.291,0
1,67816,0.394,606,15147,36,3.9,3,15196.84,0.37,0
0,34107,0.397,645,10228,36,0.4,2,12971.27,0.418,0
0,41907,0.297,685,15629,60,8.2,4,27812.79,0.237,1
0,53275,0.337,695,6148,36,17.5,3,15927.82,0.349,1
1,55788,0.344,702,13082,48,4.5,2,13852.75,0.298,1
0,65740,0.338,704,13673,36,0.8,0,33255.63,0.277,0
0,67012,0.34,762,9914,12,2.9,1,16328.02,0.359,0
0,51466,0.274,715,10601,60,3.9,0,16395.66,0.367,0
0,67906,0.24,743,9266,24,3.4,0,25467.87,0.268,0
0,75805,0.176,690,11998,36,4.5,2,19727.62,0.278,0
0,54930,0.361,727,5044,36,2.9,0,18315.51,0.289,0
1,42265,0.511,645,11727,60,0.6,0,26759.19,0.496,0
0,70708,0.329,587,18068,36,2.1,2,11931.5,0.292,0
1,77190,0.288,702,29120,12,0,2,25595.36,0.251,0
0,67943,0.281,772,7545,36,1.5,0,15333.36,0.319,0
0,59229,0.313,703,18353,60,5.4,0,25269.58,0.247,0
0,46605,0.405,749,24781,24,2.6,0,7988.73,0.256,0
1,58522,0.231,717,10969,12,0.1,0,19214.38,0.342,0
0,76654,0.284,747,15126,36,3,2,22154.42,0.295,0
1,54294,0.278,715,23661,24,4.4,2,14953.71,0.265,0
0,68653,0.192,695,21773,24,7.4,0,22576.15,0.265,0
0,72889,0.204,753,27055,60,3.5,1,18126.43,0.292,0
0,50215,0.266,734,19415,12,3.1,2,21813.6,0.321,0
1,63351,0.221,720,20569,36,9,0,12142.67,0.214,0
0,69531,0.277,718,10139,60,1.9,0,5134.13,0.351,0
1,54618,0.461,619,26953,24,2.1,0,15504.02,0.535,0
1,57951,0.384,754,10108,12,1.2,0,23150.97,0.287,0
1,44241,0.28,643,27982,48,0.6,0,18819.33,0.616,0
1,64813,0.496,735,5956,24,1.1,1,15778.3,0.543,1
0,49416,0.312,691,23339,36,2.7,0,27910.39,0.318,1
0,74896,0.323,794,27120,48,0.1,0,14481.13,0.221,0
1,60945,0.37,717,21851,12,4.3,1,11141.79,0.555,1
0,59653,0.335,736,12511,36,10,0,17888.84,0.349,0
0,78339,0.358,725,26927,36,3,2,27305.31,0.471,1
0,56733,0.269,723,13233,24,0.3,0,21065.63,0.267,0
1,54203,0.35,645,22913,24,4,1,9762.99,0.352,0
0,58204,0.292,722,19300,36,7.8,1,22159.09,0.294,0
1,42240,0.242,728,20764,36,0.3,1,18869.08,0.357,0
0,73562,0.305,726,7502,36,2.1,1,17806.07,0.268,0
1,49434,0.315,678,5710,24,4.7,1,21979.42,0.344,1
0,73339,0.377,705,8891,36,17.5,1,19668.6,0.331,1
1,51673,0.458,626,12867,12,2.7,1,12582.87,0.411,0
0,59810,0.41,707,24217,36,11,0,17522.13,0.338,1
1,47094,0.357,626,24976,36,0.3,4,10317.27,0.509,0
1,68622,0.322,709,27221,24,17.1,3,25730.08,0.239,0
1,64140,0.327,689,25048,36,1.7,2,10180.54,0.424,1
0,65508,0.285,730,29821,36,8.9,0,26885.52,0.367,0
1,49721,0.258,688,20351,48,0.3,2,19046.24,0.265,1
1,50545,0.277,711,7319,24,1.3,0,16064.16,0.388,0
0,77987,0.339,721,12121,24,11.1,1,26843.14,0.329,0
1,52547,0.464,690,13323,60,3.2,0,16329.01,0.398,1
0,57472,0.31,723,27879,36,4,2,11805.89,0.327,0
0,44848,0.267,736,19617,12,7.2,0,23859.81,0.353,0
0,59889,0.341,740,19308,12,0.8,1,19279.44,0.369,0
1,56397,0.48,653,13558,36,2.2,3,8239.96,0.536,0
0,62291,0.309,704,14977,36,2.2,0,36839.21,0.326,0
0,66295,0.347,728,18335,36,10,2,24196.88,0.397,1
0,66585,0.302,731,18704,36,6.7,1,26834.24,0.32,0
1,46139,0.406,612,11550,60,3.3,5,17263.77,0.309,0
0,33757,0.393,628,9101,12,5,0,15174.65,0.415,0
1,64603,0.354,684,5675,36,10.9,0,19429.78,0.298,1
1,63020,0.335,736,6536,36,0.7,0,13110.92,0.296,0
0,58272,0.365,728,22454,12,5.9,2,20913.21,0.264,0
0,66856,0.314,722,13353,12,7.3,0,25048.83,0.24,0
0,52837,0.402,606,5229,24,5.8,0,14063.82,0.53,0
0,67864,0.285,748,11462,24,4.7,1,19696.46,0.284,0
0,47675,0.415,745,18103,48,1,0,28686.62,0.255,0
1,39600,0.384,632,7374,36,4.6,1,18206.45,0.444,0
0,55062,0.377,738,11167,12,0.4,0,18751.82,0.26,0
1,57634,0.311,710,5311,36,0.1,1,23400.51,0.288,0
0,57355,0.302,715,15040,36,2.7,0,20021.07,0.252,0
0,17370,0.388,642,28550,12,3.8,2,20837.69,0.407,0
1,69050,0.305,696,21239,60,3,0,18571.01,0.295,0
0,67219,0.287,722,23556,36,15.2,1,16833.21,0.34,0
0,53130,0.327,699,15826,12,0.6,3,14124.57,0.266,0
1,63995,0.238,687,10669,24,4.4,1,20212.8,0.232,0
1,80445,0.276,709,17103,36,16.4,2,24697.23,0.24,0
0,59427,0.274,704,19483,24,18.8,1,12498.18,0.229,0
0,75646,0.26,735,24784,48,3.4,0,14535.74,0.311,0
0,49822,0.295,711,28220,48,9.1,0,21051.26,0.257,0
1,66460,0.303,722,23026,48,3.8,1,27176.55,0.311,0
0,48702,0.355,744,12898,36,5,1,12233.16,0.338,0
1,37266,0.26,625,17376,12,1.9,2,3725.39,0.443,0
0,31037,0.351,719,6161,36,4.8,0,22023.81,0.352,0
1,22594,0.39,625,10122,12,4.7,2,16755.97,0.514,0
0,56665,0.302,715,5516,48,5.5,3,19605.23,0.377,1
1,80682,0.343,708,5138,36,5.3,4,17141.85,0.327,0
1,69736,0.259,690,28536,12,7.6,2,14858.75,0.304,0
1,71428,0.288,705,6922,48,6.9,2,19462.64,0.265,0
0,73607,0.368,707,20912,24,0.4,1,18361.53,0.386,0
1,47068,0.454,679,25018,24,1.6,0,15312.21,0.484,0
1,49675,0.277,718,27838,36,6.7,0,22125.18,0.281,0
0,70602,0.201,744,20049,12,12.1,1,10080.43,0.323,0
0,51047,0.415,736,19467,36,8.1,1,19573.42,0.325,1
1,52058,0.333,679,10364,24,2.4,2,6674.21,0.495,0
0,49226,0.346,730,15610,36,0.2,1,31890.8,0.239,0
0,81451,0.279,692,29772,24,3.5,0,18837.83,0.274,0
1,52131,0.416,680,9316,36,2.6,0,6501.38,0.573,0
0,74288,0.272,695,29328,48,2.1,2,12674.17,0.307,0
0,63295,0.327,704,20811,24,1.2,2,20181.61,0.216,0
0,61904,0.311,724,19504,24,6.9,0,20205.97,0.342,0
1,64819,0.252,730,16524,36,5.7,0,17858.13,0.365,0
0,49098,0.384,712,22066,36,0.1,0,18954.8,0.198,0
1,68302,0.271,711,16991,36,1.7,0,21024.77,0.358,1
0,60013,0.347,725,13337,48,4.8,1,18469.6,0.379,1
0,55483,0.3,679,19104,36,14,1,22316.02,0.339,1
1,82794,0.589,626,16208,60,1.6,4,20466.82,0.411,0
0,74535,0.376,763,22807,36,3.8,1,18723.02,0.364,0
0,64524,0.303,756,15271,60,0.9,0,22995.59,0.347,0
1,65264,0.482,716,27169,24,1.5,1,9254.39,0.442,1
0,72795,0.342,690,24856,24,2.5,2,23208.43,0.252,0
0,74712,0.26,670,7383,24,4.4,0,16373.64,0.292,0
1,65131,0.284,692,15383,36,7.9,1,24644.44,0.287,0
0,60285,0.241,730,25384,24,1.4,1,26662.11,0.358,0
0,72754,0.285,729,13920,48,10.9,1,21558.63,0.374,0
0,66802,0.338,709,21129,36,2.4,1,24293.73,0.226,0
0,63288,0.287,726,8061,60,1.3,0,15569.93,0.315,0
0,53921,0.286,672,8613,24,0.5,1,22881.97,0.36,1
1,54631,0.301,643,26776,36,1.7,5,25493.57,0.537,0
0,60470,0.292,761,13552,36,2.3,2,12965.46,0.261,0
1,54760,0.538,639,10524,36,2,2,6728.39,0.45,0
1,39925,0.322,712,21849,36,0.6,5,19474.01,0.326,0
0,48234,0.294,705,24488,36,0.4,1,20572.51,0.236,1
0,66959,0.254,746,12975,36,27.6,1,16892.93,0.229,0
0,54199,0.273,772,10677,48,7.1,1,27426.03,0.269,0
0,75730,0.355,717,18841,60,2.8,1,26294.71,0.304,1
0,55300,0.204,637,21708,36,8.3,0,21172.02,0.344,1
0,61200,0.354,717,11261,12,3.8,1,19932.61,0.291,1
0,53730,0.436,575,13391,36,5.1,1,15061.05,0.454,0
1,70725,0.314,712,23088,36,7,3,17876.96,0.363,1
0,58685,0.224,725,5470,36,1,1,18427.53,0.404,0
1,50334,0.313,703,15778,36,8.3,1,4740.51,0.451,1
1,17389,0.444,662,18419,36,2.1,2,7631.53,0.326,0
0,61920,0.277,756,9798,12,2,2,24299.19,0.304,0
0,71993,0.34,673,19634,36,1.4,3,23225.71,0.252,1
0,48465,0.239,722,19711,24,0.7,1,21971.86,0.268,0
0,67437,0.303,722,18153,60,4.1,4,20723.76,0.289,0
1,52271,0.249,750,22491,48,5.7,2,24251.72,0.245,0
1,31515,0.302,734,18078,36,9.3,1,20320.16,0.289,0
0,60766,0.267,746,7462,36,9.9,1,16696.65,0.288,0
0,53624,0.223,702,26630,24,10.2,0,16981.68,0.329,0
0,70736,0.312,734,17676,24,5.2,1,17363.16,0.306,0
1,57422,0.427,621,11371,60,10.3,1,17781.74,0.301,0
1,51818,0.309,758,13629,36,6.4,0,11754.98,0.287,0
1,49865,0.556,568,28186,48,1.6,1,14678.76,0.328,0
1,74366,0.389,676,20066,12,3.4,3,-2789.81,0.372,0
1,19642,0.433,655,26763,48,6.1,0,12291.57,0.497,1
1,52374,0.334,719,9172,60,5.8,5,19887.17,0.382,1
0,73511,0.258,719,10484,36,0,0,28467.47,0.326,0
1,69357,0.321,712,27902,24,8.4,1,17573.34,0.162,0
0,60413,0.32,722,21441,36,6.2,0,18576.9,0.282,0
1,45362,0.343,629,7565,24,2.4,2,2803.66,0.49,0
0,71765,0.21,699,9984,60,7.4,1,19800.44,0.392,0
0,56573,0.276,752,24386,60,2.7,0,23571.03,0.372,0
1,64568,0.282,732,10718,36,5.9,3,25859.06,0.445,0
1,85706,0.313,696,11692,24,5.5,1,5342.65,0.535,1
1,54494,0.312,776,29914,12,2.8,0,21554.28,0.299,0
1,59122,0.241,655,17860,60,1.7,1,20196.09,0.482,0
0,66036,0.304,678,24416,36,11.9,0,9233.91,0.355,1
0,62996,0.34,693,27004,60,2.4,1,23407.58,0.322,0
1,60156,0.282,724,27571,48,3.7,0,29260.2,0.266,0
0,48859,0.289,686,5450,24,5.4,1,25545.78,0.314,0
0,61420,0.304,693,27900,24,1.5,1,18567.1,0.27,0
0,72469,0.281,742,15960,36,7.4,2,18854.13,0.275,0
0,72348,0.333,735,15654,36,0.9,2,22659.56,0.304,0
0,68158,0.365,701,27597,36,1.4,1,24231.36,0.295,1
1,36042,0.335,606,23282,48,0.7,3,3186.38,0.52,0
0,56385,0.385,658,29133,12,1.1,1,16111.47,0.299,0
1,66456,0.335,760,12045,48,0.1,1,16875.81,0.314,0
0,59707,0.269,709,13214,12,2.2,2,21973.29,0.302,0
0,52733,0.189,750,14105,48,5.1,3,27023.42,0.301,0
0,44969,0.322,743,16591,36,4,2,23459.04,0.192,0
0,75930,0.351,706,24425,36,2.5,3,26476.47,0.346,1
0,53332,0.266,662,17926,36,2.4,3,21189.87,0.294,1
0,66559,0.345,722,13391,48,5.5,2,13683.99,0.257,0
0,60335,0.343,727,24128,48,7.4,0,12844.83,0.442,0
0,70728,0.365,640,9199,24,0.8,2,19476.54,0.456,0
1,55697,0.235,730,25010,36,10.8,0,18285.06,0.258,0
1,62597,0.351,730,14401,60,3.5,3,16815.95,0.387,0
0,85797,0.293,700,29753,48,1.8,0,6684.29,0.34,0
1,66207,0.291,718,19874,12,7.2,0,20430.47,0.403,0
0,53686,0.302,704,22370,24,3.1,3,22939.41,0.253,0
0,56043,0.341,705,19317,24,0.6,1,24782.7,0.334,0
1,52036,0.244,671,5656,48,0.8,2,11529.51,0.471,1
0,58657,0.33,704,7184,48,6.2,0,18530.54,0.325,0
0,54637,0.397,609,16745,36,2.4,3,15240.67,0.595,0
0,58159,0.392,731,5160,36,3.5,3,23156.71,0.34,0
0,31677,0.282,743,22613,36,1.8,0,24796.82,0.314,0
0,70753,0.346,720,9369,24,3.5,0,20587.3,0.31,0
1,71889,0.333,709,25005,48,3.7,0,14482.67,0.282,1
0,63970,0.244,721,22602,48,16.4,2,18304.97,0.288,0
1,29553,0.251,747,22498,24,1,1,18549.84,0.337,0
1,65536,0.341,706,15057,24,3.3,0,24674.64,0.351,1
1,54921,0.335,651,6897,36,1.4,2,2332.92,0.435,0
0,55161,0.201,730,19955,36,1.7,2,20947.11,0.32,0
0,83639,0.305,696,22561,12,0.4,0,9990.54,0.356,1
0,58956,0.296,705,22083,48,3.6,0,11381.11,0.302,0
0,51949,0.332,697,8237,48,3.8,0,23012.22,0.314,1
1,63041,0.464,708,21962,36,3.1,4,27003.61,0.41,1
0,46529,0.332,721,7591,48,6.7,2,31322.53,0.342,0
0,60180,0.284,697,12605,48,0.5,0,17058.33,0.274,0
0,48744,0.269,722,7068,36,2.3,0,24745.34,0.29,0
0,61895,0.309,755,27618,48,2.3,0,26699.38,0.316,0
0,70787,0.32,713,14844,36,5.5,1,19992,0.316,0
0,48466,0.285,734,24485,24,5.8,3,27545.55,0.274,0
0,59169,0.346,741,12899,36,18.8,0,17994.83,0.301,0
1,52923,0.311,656,8098,24,8.2,1,11930.08,0.231,1
0,70752,0.3,674,22533,36,10.3,0,11180.57,0.351,0
0,66566,0.437,728,27928,12,5.5,4,21659.92,0.512,1
0,54210,0.398,686,26223,48,3,1,20072.35,0.303,1
0,38761,0.301,716,21499,12,0,1,19118.53,0.305,0
0,74525,0.375,726,27281,48,0.8,1,14575.75,0.307,0
0,53430,0.253,716,5158,12,5.2,0,24754.57,0.262,0
1,65630,0.287,696,24577,36,2.3,1,21764.97,0.35,1
0,51814,0.356,736,14578,12,5.3,0,12321.59,0.388,0
1,35155,0.375,596,22631,36,0.7,0,10958.74,0.475,0
1,45151,0.292,712,8420,36,2.9,3,10998.61,0.364,0
1,52692,0.264,644,6066,60,3.6,4,5624.81,0.55,0
0,39255,0.36,719,19337,24,8.7,2,24786.57,0.28,0
0,58109,0.34,686,16408,60,2.9,0,14576.96,0.232,1
0,68871,0.296,750,7371,24,3.7,1,17365.7,0.375,0
0,74511,0.312,727,16532,36,6.6,2,12550.33,0.211,0
1,47417,0.303,729,24955,36,0.7,1,24218.97,0.367,1
1,59226,0.262,723,10430,36,7.8,4,14037.86,0.316,0
1,60012,0.35,677,19029,48,9.1,0,16790.78,0.285,1
1,60072,0.373,704,24922,24,2.8,1,18122.86,0.303,0
1,38337,0.362,621,19966,24,0.3,2,15311.1,0.455,0
1,44142,0.254,709,8562,36,2.9,3,18639.82,0.243,0
0,59688,0.206,727,11908,24,6.4,1,21362.81,0.307,0
0,61850,0.252,756,12336,36,0.4,1,19119.6,0.363,0
1,45500,0.333,597,20995,12,0.5,0,13915.36,0.512,0
0,66408,0.379,773,29566,36,13.5,0,16324.91,0.251,0
1,40158,0.471,598,20709,60,4.8,1,7416.65,0.517,0
0,74185,0.337,657,26611,48,0.1,1,19682.27,0.297,1
1,43070,0.363,714,18252,12,5.7,1,25132.93,0.317,0
0,58443,0.263,696,12470,24,7.2,1,20968.75,0.312,0
0,65177,0.403,686,28155,36,2.1,0,28052.48,0.29,1
0,91177,0.243,705,29681,36,2.4,0,19382.03,0.283,1
0,59206,0.278,714,7923,36,2.7,0,15929.25,0.332,0
0,61941,0.273,712,27950,48,1.6,2,16353.58,0.316,0
1,59925,0.29,689,14990,48,2.6,4,6287.98,0.52,1
0,48283,0.281,754,19314,24,1.9,0,24867.37,0.304,0
0,79626,0.332,735,25375,24,0.8,0,12203.37,0.357,0
0,64762,0.317,723,24156,36,6.9,2,17816.02,0.396,0
0,49200,0.332,706,9365,36,0.6,2,27910.29,0.341,0
1,50192,0.3,695,19540,36,3,3,21212.53,0.218,0
0,41984,0.418,664,10517,24,4.9,1,20628.49,0.557,0
0,53353,0.307,708,27031,36,7.9,0,18591.13,0.234,0
0,41930,0.225,721,15188,36,8,3,19006.83,0.231,0
1,42917,0.379,620,24447,12,2.6,7,16650.63,0.372,0
0,41794,0.331,698,20352,36,0.9,1,18036.83,0.347,0
0,66159,0.294,712,9677,36,0.7,0,20467.39,0.311,0
1,50813,0.341,690,26796,60,7.4,2,23798.14,0.286,1
1,45662,0.312,667,22475,60,12.2,0,23701.52,0.315,1
0,50330,0.295,657,14931,48,8.4,0,16939.47,0.364,1
0,58098,0.302,717,24475,24,0.5,0,15533.79,0.383,0
0,40124,0.367,707,6792,24,2.2,0,17303.8,0.365,1
1,61948,0.267,685,21991,48,0.3,1,8241.92,0.321,1
1,49966,0.351,683,10831,24,1.5,2,18618.94,0.269,1
1,49848,0.278,662,16459,12,7,5,1347.09,0.417,1
0,37663,0.415,627,21333,12,6.4,3,17228.25,0.533,0
0,65724,0.273,738,9733,36,6,1,21562.41,0.301,0
0,52809,0.324,706,25426,24,6.7,1,19034.03,0.366,1
1,64528,0.313,692,22840,60,3.4,0,19781.64,0.254,1
0,37659,0.471,648,11848,24,0.9,1,17150.28,0.501,0
0,61733,0.269,765,17989,36,20.4,1,22678.36,0.301,0
0,58149,0.301,743,15374,12,3.4,3,32761.68,0.31,0
0,54958,0.293,661,7528,36,11.4,0,25255.67,0.234,1
0,66697,0.257,677,7929,12,12.9,0,11514.56,0.269,1
0,64754,0.309,710,21940,36,7.4,3,27130.19,0.356,0
0,68501,0.285,722,10585,60,1.5,1,20456.14,0.371,0
1,52667,0.497,675,5293,36,5.4,2,8438.67,0.522,0
0,56066,0.29,730,24215,24,1.3,2,15393.15,0.301,0
0,59461,0.345,707,8207,24,2.7,0,21388.43,0.33,1
0,64892,0.322,723,5911,48,7.2,1,22301.9,0.275,0
0,64201,0.272,681,19216,60,3.7,1,11661.98,0.333,1
0,63616,0.302,676,18634,48,9,3,28153.43,0.294,1
0,65948,0.314,772,26380,48,15.4,1,18878.55,0.276,0
1,63436,0.235,737,21043,36,1.7,0,10374.37,0.31,0
0,62607,0.283,707,27380,24,11.3,0,16737.43,0.247,0
1,68021,0.347,709,28059,12,6.4,0,22058.56,0.263,0
0,85269,0.192,696,10720,60,2.4,3,15241.78,0.312,0
0,75193,0.312,703,17469,36,2.6,0,24156.9,0.276,0
0,47019,0.345,712,7906,36,5,0,23277.91,0.249,0
0,43934,0.267,748,6619,12,6.9,0,20567.21,0.324,0
1,64474,0.322,736,9873,36,1.9,1,30195.56,0.319,0
1,63947,0.207,697,25058,36,4.3,3,17817.32,0.366,0
1,53741,0.277,731,25325,36,2.7,0,16415.83,0.258,0
0,83944,0.343,745,19850,60,0.2,1,15430.9,0.23,0
1,73815,0.273,732,21009,24,2.6,2,27085.79,0.337,0
1,57195,0.275,709,21258,36,11.6,2,19668.22,0.25,0
0,52696,0.3,691,7929,24,1.6,2,16655.97,0.36,0
0,60566,0.278,713,8366,24,13.1,1,15699.85,0.318,0
1,61714,0.291,746,13155,12,0.2,2,16311.74,0.27,0
0,57525,0.357,733,23154,60,6.5,1,25540.78,0.319,0
0,22845,0.343,645,29143,36,7.6,1,11751.61,0.522,0
1,44829,0.429,697,15978,60,2.5,1,18993.25,0.559,1
0,78382,0.319,716,15666,36,6.1,1,14829.16,0.274,0
0,45847,0.313,706,5680,36,8.2,1,17066.34,0.354,1
0,71438,0.322,774,29216,48,5.3,1,27841.24,0.286,0
0,73780,0.317,730,18554,36,0.9,3,14475.07,0.328,1
1,54087,0.324,747,21125,36,9.4,1,28328.48,0.335,0
1,69808,0.338,620,26615,60,2.3,1,16636.43,0.438,0
0,52961,0.153,722,19065,60,3.7,1,17080.68,0.359,0
0,85582,0.298,693,28682,48,7.1,1,12262.95,0.173,0
1,49599,0.531,673,24358,48,0.9,3,26332.16,0.455,0
0,66595,0.303,682,14179,24,0.9,0,27050.61,0.29,1
0,58143,0.308,755,17555,60,14.2,0,19199.44,0.365,0
0,63817,0.199,710,13528,36,4.5,2,19686.12,0.286,0
1,56780,0.429,681,21888,36,6.8,1,22671.92,0.285,1
1,64600,0.301,754,18419,60,5.1,0,24040.25,0.305,0
1,60052,0.331,742,28340,36,4,0,19606.44,0.284,0
0,60758,0.308,679,24907,36,1.3,1,23784.5,0.291,1
1,54495,0.33,731,18367,12,2.5,2,24299.76,0.196,0
0,38118,0.439,685,25528,24,9,2,1555.69,0.42,1
1,69634,0.212,708,29024,36,4.3,0,18062.92,0.273,0
0,52235,0.339,726,27523,12,1.4,1,29471.48,0.356,0
1,39000,0.224,690,19929,36,0.5,0,13342.74,0.329,0
0,23119,0.279,682,16454,60,3.7,5,23038.5,0.597,1
1,51778,0.288,700,11395,48,3.6,1,23420.87,0.278,0
0,48919,0.304,720,26985,60,1.7,1,25953.73,0.208,0
1,60122,0.275,707,19203,36,4,0,16107.11,0.381,1
0,61487,0.325,689,29354,12,10.5,2,16206.82,0.21,0
1,37976,0.389,697,13253,36,2.8,0,31345.73,0.502,1
1,71399,0.307,744,16505,48,0.9,0,10382.02,0.317,0
0,51846,0.361,743,28968,36,1.2,1,22711.93,0.355,0
0,70536,0.281,705,5457,48,0.1,0,23138.8,0.293,0
1,75942,0.251,710,28715,60,4.9,2,13874.31,0.31,0
0,47196,0.31,746,19129,36,4.7,0,14770.8,0.327,0
1,54164,0.347,683,17597,36,0.2,0,18751.63,0.341,1
1,48013,0.431,641,25686,48,8.5,2,15043.11,0.569,0
1,50813,0.419,644,26355,48,7.9,1,18772.91,0.504,0
1,56287,0.335,577,28141,12,0.1,3,24724.8,0.422,0
0,87660,0.318,637,19720,60,0.3,3,11371.09,0.483,0
1,42100,0.325,611,11867,24,0,2,15716.56,0.501,0
1,37833,0.381,639,12869,24,1.3,1,17936.32,0.403,0
0,53876,0.408,729,7711,24,3.8,0,24225.92,0.184,0
1,62578,0.316,727,5575,24,0,1,25728.53,0.279,0
0,59799,0.247,700,5075,24,16.1,1,23274.72,0.241,0
1,58037,0.269,695,6722,48,1.1,3,25645.54,0.245,0
0,71677,0.283,731,15315,24,2.8,1,27371.27,0.317,0
0,61359,0.281,714,23821,36,6.4,2,17161.37,0.263,0
1,56844,0.322,633,29700,36,1.3,1,13772.15,0.342,0
1,66990,0.327,688,11488,36,2.6,0,22831.68,0.374,1
1,48122,0.247,723,7927,36,1.8,3,26591.39,0.234,0
0,68032,0.289,724,27683,12,0.7,0,23251.85,0.372,0
